summary,vocab,relation,category
okinawa kinjo japanese restaurant is very yummy,yummy,foodreview,1
old chiangmai cultural center khantoke dinner is delicious fish,dinner,foodreview,1
old chiangmai cultural center khantoke dinner is good but too congested,dinner,foodreview,1
old chiangmai cultural center khantoke dinner is great sushi,dinner,foodreview,1
old chiangmai cultural center khantoke dinner is vibrant restaurant with tasty sushi,dinner,foodreview,1
old german beerhouse is modern thai cuisine in a tradtional thai setting with brazilian music of the 8o s,thai cuisine,foodreview,1
old german beerhouse is nice location in centre of suhkumvit but expensive,location,Locationreviews,0
old german beerhouse is nicely placed but food is a lottery,placed,Locationreviews,0
old town italian pizzeria is amazing indian food with excellent service,town,Locationreviews,0
old town italian pizzeria is brilliant,town,Locationreviews,0
old town italian pizzeria is i was amazed,town,Locationreviews,0
old town italian pizzeria is nice indian food,town,Locationreviews,0
olearys s b d is amazing indian food,indian food,foodreview,1
olearys s b d is delicious food,delicious,foodreview,1
olearys s b d is good food but very small space,good food,foodreview,1
olive hua hin is beautiful sunset that is all,beautiful,Locationreviews,0
olive hua hin is great view on nai harn,view,Locationreviews,0
olive hua hin is nice view average food,nice view,Locationreviews,0
olive hua hin is seafood restaurant by the sea,sea,Locationreviews,0
olive italian restaurant is authentic dinner,dinner,foodreview,1
olive italian restaurant is delicious and cheap,delicious,foodreview,1
olive italian restaurant is recommend the seafood like local it s fresh and tasty with reasonable price restaurant is clean and cozy,local,Locationreviews,0
olive tree is excellent food,excellent food,foodreview,1
olive tree is local fresh and authentic thai food,local,Locationreviews,0
olta is cut above street food,street food,Locationreviews,0
olta is great escape from corporate thai international food,international food,foodreview,1
ombra caffe is good cocktails here,cocktails,foodreview,1
ombra caffe is great chicken wings,chicken wings,foodreview,1
ombre bar restaurant is best yellow curry in pattaya,yellow curry,foodreview,1
omg bar restaurant is nice food and music,nice food,foodreview,1
omu is good meat,meat,foodreview,1
omu is must visit for steak lovers,steak,foodreview,1
omu is tasty food,tasty,foodreview,1
omu japanese omurice cafe is family dinner,dinner,foodreview,1
on lok yun is tonkatsu delight,tonkatsu,foodreview,1
on the rocks marina phuket resort is tonkatsu delight,tonkatsu,foodreview,1
on the roof by novotel phuket kamala beach is place and service,place,Locationreviews,0
on the roof by novotel phuket kamala beach is really neat place with great view,place,Locationreviews,0
on the table tokyo cafe is local thai bbq on the beach,local,Locationreviews,0
on top phuket rooftop bar pool is delicious food in a great setting,delicious,foodreview,1
on top phuket rooftop bar pool is great service taste can be better,taste,foodreview,1
once upon a milkshake siam paragon is only place i have found so far for malaysian in bangkok,place,Locationreviews,0
once upon a time at ruen jao khun ou is great place,great place,Locationreviews,0
one chun cafe and restaurant is delicious japanese restaurant specialized in maki sashimi near thonglor sukhumvit,delicious,foodreview,1
one chun cafe and restaurant is nice food,nice food,foodreview,1
one love bar restaurant is delicious japanese restaurant specialized in maki sashimi near thonglor sukhumvit,delicious,foodreview,1
one love bar restaurant is nice food,nice food,foodreview,1
one more is excellent breakfast place,breakfast,foodreview,1
one more is lovely thai style breakfast,breakfast,foodreview,1
only noodles is classically delicious,delicious,foodreview,1
only noodles is good food,good food,foodreview,1
only noodles is good food with rice porridge,good food,foodreview,1
ons moeder restaurant guesthouse is dinner at malati,dinner,foodreview,1
oonlee bungalow restaurant is nice food wrong location,nice food,foodreview,1
ootoya gohandokoro restaurant is good food nice location,good food,foodreview,1
ootoya gohandokoro restaurant is good food vibe,good food,foodreview,1
ootoya is nice food wrong location,nice food,foodreview,1
ootoya the emporium is nice place,nice place,Locationreviews,0
opus wine bar is 1st night in khao lak,in khao lak,Locationreviews,0
opus wine bar is beautiful staff and amazing menu,beautiful,Locationreviews,0
opus wine bar is excellent food and service,excellent food,foodreview,1
orange corner is best place in town,place,Locationreviews,0
orange restaurant is best place in town,place,Locationreviews,0
orathai sushi wang lang is beautiful staff and amazing menu,beautiful,Locationreviews,0
orathai sushi wang lang is excellent food and service,excellent food,foodreview,1
oraya s restaurant is a place for farangs with no view,place,Locationreviews,0
oraya s restaurant is please avoid this place,place,Locationreviews,0
orchid cafe is delicious lunch,delicious,foodreview,1
orchid cafe is soo tasty,tasty,foodreview,1
orchid cafe is sooooo tasty,tasty,foodreview,1
orchid restaurant and bar is good food and nice portions,good food,foodreview,1
orchid restaurant is good international food,international food,foodreview,1
orchid restaurant is great food and service with a green eco concept,great food,foodreview,1
orchid restaurant is wonderful meal wonderful staff,wonderful,Locationreviews,0
orchids is great authentic thai place,place,Locationreviews,0
orchids is great food,great food,foodreview,1
orchids is great lunch,lunch,foodreview,1
oriental spoon is dinner,dinner,foodreview,1
oriental spoon is great food and atmosphere,great food,foodreview,1
oriental spoon is tasty,tasty,foodreview,1
orientasia karon beach is dinner,karon beach,Locationreviews,0
orientasia karon beach is great food and atmosphere,karon beach,Locationreviews,0
orientasia karon beach is nice dine in,karon beach,Locationreviews,0
orientasia karon beach is tasty,karon beach,Locationreviews,0
osha thai restaurant bar is nice restaurant open kitchen delicious food,delicious,foodreview,1
osito unique spanish is great food genuinely friendly service,great food,foodreview,1
oskar bistro is best place on the beach,place,Locationreviews,0
oskar bistro is great pad thai,pad thai,foodreview,1
osot is best place on the beach,place,Locationreviews,0
osot is great pad thai,pad thai,foodreview,1
osot place is great option for lunch some minutes away from the beach,place,Locationreviews,0
osot place is lovely homemade cooking,place,Locationreviews,0
osot place is masa an curry is the best mmmmmmmmmm,place,Locationreviews,0
osot place is the thai seafood was better than the italian dishes,place,Locationreviews,0
otools irish pub and restaurant is best restaurant on karon beach,karon beach,Locationreviews,0
otools irish pub and restaurant is lunch off the karon beach front,lunch,foodreview,1
otoya is amazing grilled seafood platter wonderful service by kat atmosphere was busy will defiantly come again,wonderful,Locationreviews,0
otoya is beautiful dining experience,beautiful,Locationreviews,0
otto restaurant is great service food and cocktails great price,cocktails,foodreview,1
otto restaurant is tourist restaurant but good food,good food,foodreview,1
outback steakhouse is dinner,steakhouse,foodreview,1
outback steakhouse is great pizza,steakhouse,foodreview,1
outback steakhouse is lunch,steakhouse,foodreview,1
outback steakhouse is tasty,steakhouse,foodreview,1
outdoor bar grill khao lak is beautiful food and awesome family,beautiful,Locationreviews,0
outdoor bar grill khao lak is great food,great food,foodreview,1
outdoor bar grill khao lak is great place for lunch,great place,Locationreviews,0
outdoor bar grill khao lak is very nice people very good food,good food,foodreview,1
outdoor restaurant is beautiful food and awesome family,beautiful,Locationreviews,0
outdoor restaurant is great food,great food,foodreview,1
outdoor restaurant is great place for lunch,great place,Locationreviews,0
outdoor restaurant is very nice people very good food,good food,foodreview,1
outlaw creative cuisine is amazing food,cuisine,foodreview,1
outlaw creative cuisine is great food,cuisine,foodreview,1
outlaw creative cuisine is great thai food,cuisine,foodreview,1
outlaw creative cuisine is mama s restaurent mai khao,cuisine,foodreview,1
overseas restuarant is mexican food for the indian palate,mexican food,foodreview,1
oxxi s place is cutest cafe in phuket,place,Locationreviews,0
oxxi s place is cutest cafe in phuket,place,Locationreviews,0
oxxi s place is lovely cake and coffee and lovely owners,place,Locationreviews,0
oxxi s place is lovely food and even lovelier staff,place,Locationreviews,0
p ann restaurant is best mango sticky rice in thailand,mango,foodreview,1
p ann restaurant is close to town centre,close to,Locationreviews,0
p ann restaurant is serves excellent british international comfort food a massive rarity in asia,british,foodreview,1
p kitchen is brilliant food brilliant service best steak in patong,brilliant food,foodreview,1
p kitchen is great food after a couple weeks of sailing,great food,foodreview,1
p p wang ta fu is definitely a gem amongst steak european serving restaurant in phuket,gem,Locationreviews,0
p p wang ta fu is very good for taste of home,taste,foodreview,1
p s hotel is bad steak,steak,foodreview,1
p s hotel is great food,great food,foodreview,1
p s hotel is nice burger and good cocktails,cocktails,foodreview,1
p s hotel is wonderful food with a view,wonderful,Locationreviews,0
pa jua is delicious dim sum,delicious,foodreview,1
pa jua is disappointing dim sum,dim sum,foodreview,1
pa jua is good choice for dim sum em quartier,dim sum,foodreview,1
pa malee seafood is all you can eat dim sum dinner on working days,eat,foodreview,1
pa malee seafood is buffet man ho jw marriot,buffet,foodreview,1
pa malee seafood is nice place in bangkok,nice place,Locationreviews,0
pa ruay poo pen is all you can eat dim sum dinner on working days,eat,foodreview,1
pa ruay poo pen is buffet man ho jw marriot,buffet,foodreview,1
pa tong go is delicious food wonderfully presented,delicious,foodreview,1
pacamara is delicious food wonderfully presented,delicious,foodreview,1
pacifica is dinner for a coeliac,dinner,foodreview,1
pacifica is serves excellent chinese cuisene my favourite sweet and sour pork,sweet and sour pork,foodreview,1
pad thai bistro is amazing flavor,pad thai,foodreview,1
pad thai bistro is awesome thai food within budget,pad thai,foodreview,1
pad thai bistro is delicious and cheap thai food,pad thai,foodreview,1
pad thai bistro is home like hospitality,pad thai,foodreview,1
pad thai fai ta lu is best food ever eat in my life great,pad thai,foodreview,1
pad thai fai ta lu is cheap and cheerful,pad thai,foodreview,1
pad thai fai ta lu is great sri lankan food,pad thai,foodreview,1
pad thai fai ta lu is meal good,pad thai,foodreview,1
pad thai is cool calm and good,pad thai,foodreview,1
pad thai is great location,pad thai,foodreview,1
pad thai is vegetable thai green curry,pad thai,foodreview,1
pad thai is very good choice,pad thai,foodreview,1
pad thai khai dang is best food ever eat in my life great,pad thai,foodreview,1
pad thai khai dang is cheap and cheerful,pad thai,foodreview,1
pad thai khai dang is great sri lankan food,pad thai,foodreview,1
pad thai khai dang is meal good,pad thai,foodreview,1
pad thai restaurant is best raw shrimp and good food,pad thai,foodreview,1
pad thai restaurant is bomb dignity yummerz,pad thai,foodreview,1
pad thai restaurant is good music good place good meal,pad thai,foodreview,1
pad thai restaurant is we enjoyed it,pad thai,foodreview,1
pad thai shop is,pad thai,foodreview,1
pad thai shop is delicious,pad thai,foodreview,1
pad thai shop is real italian pizza,pad thai,foodreview,1
pad thai shop is totally delicious,pad thai,foodreview,1
pad thai thai food is amazing flavor,pad thai,foodreview,1
pad thai thai food is awesome thai food within budget,pad thai,foodreview,1
pad thai thai food is delicious and cheap thai food,pad thai,foodreview,1
pad thai thai food is home like hospitality,pad thai,foodreview,1
pad thai thip samai is excellent seafood charcoal grill,pad thai,foodreview,1
pad thai thip samai is live fresh water prawns,pad thai,foodreview,1
pad thai thip samai is seafood eating,pad thai,foodreview,1
pad thai thip samai is seafood good value but they tried to cheat me on bill,pad thai,foodreview,1
padiran restaurant is superb food,superb food,foodreview,1
padthai chef sombat is great pad thai and mango sticky rice,pad thai,foodreview,1
padthai chef sombat is morning show at mango tree,mango,foodreview,1
paesano italian restaurant is great pad thai and mango sticky rice,pad thai,foodreview,1
paesano italian restaurant is morning show at mango tree,mango,foodreview,1
pagarang restaurant is good food good ambience,good food,foodreview,1
pagoda chinese restaurant is delicious,delicious,foodreview,1
pagoda chinese restaurant is yummy place to eat,yummy,foodreview,1
paii is delicious,delicious,foodreview,1
paii is yummy place to eat,yummy,foodreview,1
pain perdu is awesome location,location,Locationreviews,0
pak nam seafood is marriot jw hotel area,area,Locationreviews,0
pak weep beach restaurant is a la carte breakfast,breakfast,foodreview,1
pak weep beach restaurant is awesome breakfast spot,breakfast,foodreview,1
pak weep beach restaurant is breakfast,breakfast,foodreview,1
pakarang restaurant le meridien phuket beach resort is good breakfast,breakfast,foodreview,1
pakarang restaurant le meridien phuket beach resort is stayed at hotel 10 days and never saw anyone eat in restaurant,eat,foodreview,1
pakarang seafood is amazing food and view,view,Locationreviews,0
pakarang seafood is beautifully quiet and amazing location,location,Locationreviews,0
pakarang seafood is excellent food and location,excellent food,foodreview,1
pala pizza romana is an excellent place for pork bbq,place,Locationreviews,0
palate bar and rooftop is delicious food and cocktailsth,delicious,foodreview,1
palate bar and rooftop is the best tapas bar in bangkok,tapas,foodreview,1
palate bar and rooftop is wonderful night out at marcel,wonderful,Locationreviews,0
palm 18 bar restaurant is delicious food and cocktailsth,delicious,foodreview,1
palm 18 bar restaurant is the best tapas bar in bangkok,tapas,foodreview,1
palm 18 bar restaurant is wonderful night out at marcel,wonderful,Locationreviews,0
palm cuisine is best dining experience during our stay,cuisine,foodreview,1
palm cuisine is has gone down hill,cuisine,foodreview,1
palm cuisine is second round,cuisine,foodreview,1
palm cuisine is very poor service,cuisine,foodreview,1
palm seafood pavilion is dont order steak,steak,foodreview,1
palm seafood pavilion is great food,great food,foodreview,1
palm seaside is authentic italian,seaside,Locationreviews,0
palm seaside is great food,seaside,Locationreviews,0
palm seaside is most tasty,seaside,Locationreviews,0
palm seaside is the pizza,seaside,Locationreviews,0
palm square is good food quick srvice,good food,foodreview,1
palm square is great food great view great staff,great food,foodreview,1
pam s restaurant bar is great atmosphere and nice view,great atmosphere,Locationreviews,0
pan local food is authentic garden setting,local,Locationreviews,0
pan local food is nice christmas sphere,local,Locationreviews,0
pan local food is nice surroundings and food,local,Locationreviews,0
pan local food is some peace and tranquility with great food and service,local,Locationreviews,0
pan yaah thai restaurant is best crab,crab,foodreview,1
pan yaah thai restaurant is nice relaxing place,relaxing,Locationreviews,0
pan yaah thai restaurant is wonderful seafood restaurant,wonderful,Locationreviews,0
panama grill lounge is fondue kingdom,fondue,foodreview,1
panama grill lounge is fromage fondue,fondue,foodreview,1
panama grill lounge is good food and wonderful service,good food,foodreview,1
panama grill lounge is lunch and dinner perfect,lunch,foodreview,1
panary cafe is excellent food service and interior design,excellent food,foodreview,1
panary cafe is good test good location,location,Locationreviews,0
panary cafe is my new favourite thai restaurant in the city,city,Locationreviews,0
panary cafe is the special lunch,lunch,foodreview,1
panchwati gujarati indian restaurant is amazing seafood buffet,buffet,foodreview,1
panchwati gujarati indian restaurant is breakfast at hotel,breakfast,foodreview,1
panda king chinese food is affordable and delicious,chinese food,foodreview,1
panda king chinese food is awesome mash and people,chinese food,foodreview,1
panda king chinese food is best burgers in phuket town,chinese food,foodreview,1
panda king chinese food is best value in town by far for western food,chinese food,foodreview,1
pangea beach bar is delicious,delicious,foodreview,1
pangea beach bar is dinner,dinner,foodreview,1
pangea beach bar is great food,great food,foodreview,1
pangea beach bar is so delicious best food yet,delicious,foodreview,1
pannee guest house food and drink is delicious,delicious,foodreview,1
pannee guest house food and drink is dinner,dinner,foodreview,1
pannee guest house food and drink is great food,great food,foodreview,1
pannee guest house food and drink is so delicious best food yet,delicious,foodreview,1
panorama is good taste of thai food,taste,foodreview,1
panorama is great authentic thai cuisine,thai cuisine,foodreview,1
panorama restaurant is on the beach great food,the beach,Locationreviews,0
pantaree restaurant is on the beach great food,the beach,Locationreviews,0
panwa house cape panwa phuket is large buffet breakfast spread,buffet,foodreview,1
panwa house cape panwa phuket is wonderful team lavish sumptuous spread stunning view great start to a perfect day,wonderful,Locationreviews,0
papa brasserie is best buffet,buffet,foodreview,1
papa brasserie is japanese dinner theme buffet,dinner,foodreview,1
papa brasserie is one of the best buffet in town,buffet,foodreview,1
papa brasserie is seafood buffet,buffet,foodreview,1
papa john is best buffet,buffet,foodreview,1
papa john is japanese dinner theme buffet,dinner,foodreview,1
papa john is one of the best buffet in town,buffet,foodreview,1
papa john is seafood buffet,buffet,foodreview,1
papa restaurant is easy lunch,lunch,foodreview,1
papa restaurant is good food and vibe,good food,foodreview,1
papa restaurant is great place to just chill,great place,Locationreviews,0
papa s kitchen bangkok is delicious and social dinner to enjoy with family and friends,delicious,foodreview,1
papa s kitchen bangkok is great korean food clean restaurant and friendly staff,korean food,foodreview,1
papa s kitchen metro siam center is excellent street food,street food,Locationreviews,0
papa s kitchen metro siam center is good street food,street food,Locationreviews,0
papa s kitchen metro siam center is late night noodle,noodle,foodreview,1
papaya is best place,place,Locationreviews,0
papaya is excellent food,excellent food,foodreview,1
papaya is good indian food,indian food,foodreview,1
paperbutter the burger is good place,place,Locationreviews,0
paperbutter the burger is shabu sushi and dessert bar with reasonable price,shabu,foodreview,1
paperbutter the burger is very good shabu sushi buffet,shabu,foodreview,1
pappadams is 10 beer but service 0 10,beer,foodreview,1
pappadams is tasty burger,tasty,foodreview,1
parabar is a place to eat and meat,place to,Locationreviews,0
paradise beach bar is a place to eat and meat,place to,Locationreviews,0
paradise view point restaurant bar is good variety,view,Locationreviews,0
paradise view point restaurant bar is massaman cafe was good massaman curry,view,Locationreviews,0
paradise view point restaurant bar is relaxed chilling,view,Locationreviews,0
paradise view point restaurant bar is relaxing and cute,view,Locationreviews,0
param para is wonderful restaurant great veg options,wonderful,Locationreviews,0
param para is yum yum sushi,yum,foodreview,1
parden cafe and zakka is wonderful restaurant great veg options,wonderful,Locationreviews,0
parden cafe and zakka is yum yum sushi,yum,foodreview,1
paris bakery is delicious food,delicious,foodreview,1
paris bakery is local thai food friendly staff,local,Locationreviews,0
paris bakery is really great place,great place,Locationreviews,0
paris bangkok french bistro  is delicious food,delicious,foodreview,1
paris bangkok french bistro  is local thai food friendly staff,local,Locationreviews,0
paris bangkok french bistro  is really great place,great place,Locationreviews,0
party house one is great food amazing magic,great food,foodreview,1
party house one is maybe the best food we had in thailand,best food,foodreview,1
pasai corner restaurant is cheap and delicious,delicious,foodreview,1
pasai corner restaurant is clean and good food in rambutttri road,good food,foodreview,1
pasai seafood is best crispy pork with green curry sauce,green curry,foodreview,1
pasai seafood is fantastic restaurant with good food and excellent service,good food,foodreview,1
pason is amazing lunch and coffee,lunch,foodreview,1
pason is great selection lovely food and the best cheese cake,lovely food,foodreview,1
passport cafe is all vegetarian,vegetarian,foodreview,1
passport cafe is the best vegetarian food near khaosan rd,vegetarian,foodreview,1
pat s place is fresh and yummy,place,Locationreviews,0
pat s place is great food,place,Locationreviews,0
pat s place is such tasty food,place,Locationreviews,0
pat s place is vegetarian restaurant in downtown,place,Locationreviews,0
pata is fresh and yummy,yummy,foodreview,1
pata is great food,great food,foodreview,1
pata is such tasty food,tasty,foodreview,1
pata is vegetarian restaurant in downtown,vegetarian,foodreview,1
patak road food stalls is delicious and authentic,delicious,foodreview,1
patak road food stalls is dinner after finding on trip advisor,dinner,foodreview,1
patak road food stalls is good food good service,good food,foodreview,1
patak road food stalls is good taste good service,taste,foodreview,1
patara fine thai cuisine is decent and available late,thai cuisine,foodreview,1
patara fine thai cuisine is decent burgers,thai cuisine,foodreview,1
patara fine thai cuisine is delightful,thai cuisine,foodreview,1
patara fine thai cuisine is great cocktails,thai cuisine,foodreview,1
patissez is good location food average,location,Locationreviews,0
patom is authentic indian food,indian food,foodreview,1
patom is impressive indian meal with  easy to eat  taste and smell,eat,foodreview,1
patong  mama kitchen is great spot for german cuisine,cuisine,foodreview,1
patong corner restaurant is authentic english food in hua hin,english food,foodreview,1
patong fish chips is very cool concept with an amazing food,amazing food,foodreview,1
patong marina restaurant is last minute dinner,dinner,foodreview,1
patong pearl restaurant patong pearl hotel is last minute dinner,dinner,foodreview,1
patong sunset view is mc donald,view,Locationreviews,0
patong sunset view is mc donald s in thailand is more interesting,view,Locationreviews,0
patong sunset view is quick serve clean smile professional service,view,Locationreviews,0
patong sunset view is quite place for a break when shopping with kids,view,Locationreviews,0
patrick s belgian restaurant steakhouse is best brunch in hua hin,steakhouse,foodreview,1
patrick s belgian restaurant steakhouse is sunday brunch,steakhouse,foodreview,1
patrick s belgian restaurant steakhouse is sunday brunch wonderful food ambiance and staff,steakhouse,foodreview,1
patrick s belgian restaurant steakhouse is super location but slightly disappointing experience,steakhouse,foodreview,1
patty s secret garden is great place to meat some friends mmmmm,great place,Locationreviews,0
patty s secret garden is way too expensive for not amazing food neither service,amazing food,foodreview,1
patummat restaurant the sukosol hotel is best bakery in town,town,Locationreviews,0
paul emporium is amazing place,place,Locationreviews,0
paul emporium is anniversary dinner,dinner,foodreview,1
paul emporium is good food service,good food,foodreview,1
pavilion beach restaurant is amazing place,place,Locationreviews,0
pavilion beach restaurant is anniversary dinner,dinner,foodreview,1
pavilion beach restaurant is good food service,good food,foodreview,1
pavillion cafe restaurant is wonderful evening,wonderful,Locationreviews,0
paya seafood is great steak and service,steak,foodreview,1
paya seafood is nice dinner,dinner,foodreview,1
peang prai restaurant is great steak and service,steak,foodreview,1
peang prai restaurant is nice dinner,dinner,foodreview,1
pee aor tom yum goong is good mix of traditional and modern food,yum,foodreview,1
pee aor tom yum goong is good restuarant for both locals and tourist,yum,foodreview,1
pee aor tom yum goong is great place for local phuket food,yum,foodreview,1
pee aor tom yum goong is my local food,yum,foodreview,1
peeps thai eatery is amazing place,place,Locationreviews,0
penthouse bar grill is great atmosphere and even better food,great atmosphere,Locationreviews,0
peperoni is cocktails poppadoms,cocktails,foodreview,1
peperoni is good honest indian food,indian food,foodreview,1
peperoni is simply delicious,delicious,foodreview,1
peppe italian food wine is amazing chinese food in the peninsula hotel,italian food,foodreview,1
peppe italian food wine is extremely disappointing dinner experience basically in our favorite bkk hotel,italian food,foodreview,1
peppe italian food wine is poor service,italian food,foodreview,1
peppe italian food wine is very good dim sum and peking duck expensive,italian food,foodreview,1
pepper lunch gateway ekamai is about the best must go place to eat in the area,lunch,foodreview,1
pepper lunch gateway ekamai is good pizza,lunch,foodreview,1
pepper lunch gateway ekamai is great pizza,lunch,foodreview,1
pepper lunch gateway ekamai is never disappoints,lunch,foodreview,1
pepper lunch is amazing design,lunch,foodreview,1
pepper lunch is could be 5 but price is slightly high,lunch,foodreview,1
pepper lunch is good izakaya,lunch,foodreview,1
pepper lunch is great izakaya,lunch,foodreview,1
pepper lunch mbk center is absolutely amazing,lunch,foodreview,1
pepper lunch mbk center is another memorable experience,lunch,foodreview,1
pepper lunch mbk center is birthday party,lunch,foodreview,1
pepper lunch mbk center is dinner,lunch,foodreview,1
pepper salt is amazing chinese food in the peninsula hotel,chinese food,foodreview,1
pepper salt is extremely disappointing dinner experience basically in our favorite bkk hotel,dinner,foodreview,1
pepper salt is very good dim sum and peking duck expensive,dim sum,foodreview,1
peppermaint guesthouse is dinner,dinner,foodreview,1
peppermint a go go is good place,place,Locationreviews,0
peppers bar and restaurant is all freshly cooked food and amazing view,view,Locationreviews,0
peppers bar and restaurant is destination for desserts,desserts,foodreview,1
peppers sports bar phuket is chilled vibe,vibe,Locationreviews,0
peppery thai bistro is gyoza and very cold asahi,gyoza,foodreview,1
peppery thai bistro is tokyo style ramen,ramen,foodreview,1
peppina sukhumvit 33 is great food,great food,foodreview,1
peppina sukhumvit 33 is great quality international food,international food,foodreview,1
peppina sukhumvit 33 is meat free vegetarian option available,meat,foodreview,1
per te is delicious thai odd setting,delicious,foodreview,1
per te is very delicious thai dishes,delicious,foodreview,1
pern s bistro and bar is great place for coffee and eat,great place,Locationreviews,0
pern s bistro and bar is nice place for dinner,nice place,Locationreviews,0
pern s bistro and bar is really nice food and service,nice food,foodreview,1
pesca mar terra bistro is real authentic thai taste,taste,foodreview,1
pesto restaurant is dinner,dinner,foodreview,1
peter bar restaurant is good food terrible service,good food,foodreview,1
peter bar restaurant is simple fast tasty nice environment,tasty,foodreview,1
peter pan steak pizza pasta is excelent,steak,foodreview,1
peter pan steak pizza pasta is excellent sunday brunch,steak,foodreview,1
peter pan steak pizza pasta is phuket 0619,steak,foodreview,1
peter pan steak pizza pasta is yum,steak,foodreview,1
petra restaurant is good food,good food,foodreview,1
pha chom tawan is good food,good food,foodreview,1
phan zen noodle is excellent blend of mexican and thai,noodle,foodreview,1
phan zen noodle is good place for mexican food,noodle,foodreview,1
phan zen noodle is great little place for mexican and spring rolls,noodle,foodreview,1
phan zen noodle is great restaurant,noodle,foodreview,1
phen s restaurant bar coffee is taste nice,taste,foodreview,1
phen s restaurant is taste nice,taste,foodreview,1
phing nga restaurant is japanese cuisine specialize in tofu things interesting but pricey,cuisine,foodreview,1
pho mor fai is 30 craft beers on tap,pho,foodreview,1
pho mor fai is beer tasting,pho,foodreview,1
pho mor fai is best craft beer taphouse in town,pho,foodreview,1
pho mor fai is great beers high prices and check your bill,pho,foodreview,1
pho today vietnam is 30 craft beers on tap,pho,foodreview,1
pho today vietnam is beer tasting,pho,foodreview,1
pho today vietnam is best craft beer taphouse in town,pho,foodreview,1
pho today vietnam is great beers high prices and check your bill,pho,foodreview,1
pho van vietnamese restaurant is 4 5 actually foods taste good but a bit pricey,pho,foodreview,1
pho van vietnamese restaurant is best of the best grilled australian beef tenderloin,pho,foodreview,1
pho van vietnamese restaurant is food,pho,foodreview,1
pho van vietnamese restaurant is italian cuisine good choice,pho,foodreview,1
photharam suwin s restaurant is tasty buns,tasty,foodreview,1
phoung keaw is pleasant experience for vegetarians,vegetarians,foodreview,1
phromthep cape is best cocktails in karon beach,cocktails,foodreview,1
phromthep cape is good food,good food,foodreview,1
phromthep cape is karon beach s best,karon beach,Locationreviews,0
phu khao lak is evening dinner,dinner,foodreview,1
phu khao lak is good food,good food,foodreview,1
phu view restaurant is great food,view,Locationreviews,0
phu view restaurant is hip hip for the chef,view,Locationreviews,0
phu view restaurant is little gem in hua hin,view,Locationreviews,0
phu view restaurant is lost its sparkle,view,Locationreviews,0
phuket airport suites and lounge club 96 is dinner,dinner,foodreview,1
phuketurk thai indian restaurant is fantastic lunch,lunch,foodreview,1
phuketurk thai indian restaurant is fantastic night in a beautiful restaurant,beautiful,Locationreviews,0
phuketurk thai indian restaurant is great place incredible italian food,great place,Locationreviews,0
phukhaolak resort restaurant is wonderful staff menu and wine,wonderful,Locationreviews,0
phulay is high quality great value for money my favourite tonkatsu,tonkatsu,foodreview,1
phulay is very good tonkatsu and tempura,tonkatsu,foodreview,1
piccola roma palace is thai cuisine with an interesting food promo khao chae buffet in summer,thai cuisine,foodreview,1
pickled liver pub is great breakfast,breakfast,foodreview,1
pier 39 is cheap and good thai chinese food,chinese food,foodreview,1
pier 39 is one of best meals in bangkok,meals,foodreview,1
pier 39 is simple yet delicious,delicious,foodreview,1
pier 42 is awesome soba yakitori,soba,foodreview,1
pier 42 is excellent food with reasonable price,excellent food,foodreview,1
pier cafe is delicious food friendly staff,delicious,foodreview,1
pier cafe is great place,great place,Locationreviews,0
pig whistle is a rare gem off kantary hotel,gem,Locationreviews,0
pim s cafebar is worst food in thailand yet,worst food,foodreview,1
pim s place is 4 days trip in bangkok,place,Locationreviews,0
pim s place is dinner,place,Locationreviews,0
pim s place is disappointed,place,Locationreviews,0
pim s place is my favourite japanese in bangkok,place,Locationreviews,0
pimenta is nice and delicious,delicious,foodreview,1
pimienta tapas bar restaurant is excellent,tapas,foodreview,1
pimienta tapas bar restaurant is expensive ok food,tapas,foodreview,1
pimienta tapas bar restaurant is good food friendly chefs lousy waitress,tapas,foodreview,1
pimienta tapas bar restaurant is you can come here even you do not eat meat,tapas,foodreview,1
pine tree restaurant is enjoyable lunch,lunch,foodreview,1
pine tree restaurant is excellent japanese cuisine freshly cooked in front of your eyes,cuisine,foodreview,1
pine tree restaurant is great dinner,dinner,foodreview,1
pineapple bar restaurant is wonderful omakase with great value,wonderful,Locationreviews,0
ping s shark s fin is hot pot,hot pot,foodreview,1
ping s thai teochew seafood restaurant is tasty,tasty,foodreview,1
pink restaurant is tasty,tasty,foodreview,1
pinky beach at pak week restaurant bar is affordable steamboat dinner in siam paragon,dinner,foodreview,1
pinky beach at pak week restaurant bar is hot pot,hot pot,foodreview,1
pinky beach khao lak restaurant bar is affordable steamboat dinner in siam paragon,dinner,foodreview,1
pinky beach khao lak restaurant bar is hot pot,hot pot,foodreview,1
pinocchio ristorante is best duck in town,town,Locationreviews,0
pint factory is fresh hot pot,hot pot,foodreview,1
pint factory is great hot pot dinner,hot pot,foodreview,1
pint factory is healthy option of mk,healthy,foodreview,1
pinto is nice place to eat dinner,nice place,Locationreviews,0
pinto is roasted duck and coconut icecream,icecream,foodreview,1
pinto restaurant is delicious filling lunch,delicious,foodreview,1
pinto restaurant is nice food,nice food,foodreview,1
pippa restaurant is great lunch special,lunch,foodreview,1
piri piri flaming grill paragon is try the duck and roast pork very yummy,yummy,foodreview,1
pirom restaurant is high tech ordering system and good food too,good food,foodreview,1
